timestamp,round_id,crash_point
1747030509.8726497,32467506,21.64
1747031804.6532652,32470139,1.16
1747031824.6923234,32470166,3.25
1747031839.289766,32470189,1.41
1747031851.996559,32470227,1.11
1747031862.5575156,32470255,1
1747031875.7864108,32470285,1.18
1747031897.0708036,32470303,3.87
1747031918.6602254,32470329,4.04
1747031933.8314826,32470369,1.53
1747031947.422568,32470409,1.23
1747031961.4430873,32470438,1.3
1747031975.7419214,32470463,1.35
1747031989.2605472,32470491,1.22
1747032020.6270888,32470517,11.83
1747032034.3993864,32470547,1.26
1747032046.2485461,32470608,1.04
1747032066.853104,32470635,3.52
1747032107.175483,32470654,23.18
1747032120.8765285,32470695,1.25
1747032135.6305673,32470777,1.44
1747032152.8852012,32470804,2.12
1747032175.3349187,32470832,4.54
1747032193.2246716,32470871,2.34
1747032208.832387,32470909,1.64
1747032222.1435258,32470943,1.19
1747032267.3444467,32470972,31
1747032281.711781,32471008,1.37
1747032296.2656045,32471094,1.4
1747032315.2849498,32471121,2.79
1747032329.4005983,32471152,1.32
1747032345.3279502,32471188,1.72
1747032361.3659642,32471220,1.75
1747032375.0897741,32471254,1.25
1747032392.8385987,32471286,2.29
1747032407.7044206,32471313,1.47
1747032421.5637248,32471347,1.27
1747032436.4018607,32471379,1.46
1747032451.6000044,32471409,1.54
1747032468.7990944,32471433,2.11
1747032484.5585935,32471466,1.68
1747032503.871649,32471502,2.92
1747032523.9827404,32471534,3.29
1747032538.7724063,32471569,1.45
1747032551.6008701,32471610,1.13
1747032563.9169788,32471638,1.08
1747032575.5656323,32471663,1.03
1747032595.8585038,32471693,3.38
1747032620.7404196,32471716,6.14
1747069364.334048,32541865,7.44
1747069384.5993478,32541895,3.37
1747069406.627949,32541943,4.3
1747069427.8347783,32541985,3.84
1747069460.370659,32542028,13.09
1747069476.598089,32542071,1.81
1747069493.408635,32542136,1.96
1747069509.7649093,32542168,1.84
1747069533.5369563,32542204,5.37
1747069548.755373,32542235,1.54
1747069565.558259,32542285,1.97
1747069583.3513691,32542317,2.31
1747069600.7842052,32542341,2.18
